finess_et;finess_ej;siret;nom;adresse;code_postal;ville;departement;statut_juridique;prix_chambre_simple_jour;cotation_has;nb_red_flags;alerte_gouvernance;contentieux_judiciaire;source_finess;source_cnsa;source_has;source_alimconfiance;url_fiche_seniorvigil
330050899;940019631;48008096900268;EHPAD RESIDENCE LE VAL D OSNE;55 R DU MARECHAL LECLERC;94410;ST MAURICE;94;Non renseigné;;;0;Non;Non;Oui;Non;Non;Oui;https://seniorvigil.com/ehpad/ehpad-residence-le-val-d-osne-94/
920030186;940809387;81779709501101;EHPAD RESIDENCE LE VIEUX COLOMBIER;20 AV DE L ISLE;94350;VILLIERS SUR MARNE;94;Non renseigné;79.0;;0;Non;Non;Oui;Oui;Non;Oui;https://seniorvigil.com/ehpad/ehpad-residence-le-vieux-colombier-94/
920030186;950807388;81779709501218;EHPAD RESIDENCE LE VILLAGE;238 R DE PARIS;95150;TAVERNY;95;Non renseigné;88.6;;0;Non;Non;Oui;Oui;Non;Oui;https://seniorvigil.com/ehpad/ehpad-residence-le-village-95/
920030152;920025350;40125156600576;EHPAD RESIDENCE LEONARD DE VINCI;12 AV PUVIS DE CHAVANNES;92400;COURBEVOIE;92;Non renseigné;135.0;B;1;Non;Non;Oui;Oui;Oui;Oui;https://seniorvigil.com/ehpad/ehpad-residence-leonard-de-vinci-92/
920011798;920011848;48150451200023;EHPAD RESIDENCE LES ADRETS;21 R MORICE;92110;CLICHY;92;Non renseigné;;A;0;Non;Non;Oui;Non;Oui;Oui;https://seniorvigil.com/ehpad/ehpad-residence-les-adrets-92/
920039914;750814949;45111438300123;EHPAD RESIDENCE LES AIRELLES;8 R DES PANOYAUX;75020;PARIS;75;Non renseigné;;A;1;Non;Non;Oui;Non;Oui;Oui;https://seniorvigil.com/ehpad/ehpad-residence-les-airelles-75/
920030186;930816723;81779709501119;EHPAD RESIDENCE LES BEAUX MONTS;10 R DE COTTBUS;93100;MONTREUIL;93;Non renseigné;82.83;;0;Non;Non;Oui;Oui;Non;Oui;https://seniorvigil.com/ehpad/ehpad-residence-les-beaux-monts-93/
440052041;770017291;48443411300110;EHPAD RESIDENCE LES BERGES DU DANUBE;45 CRS DU DANUBE;77700;SERRIS;77;Non renseigné;;A;0;Non;Non;Oui;Non;Oui;Non;https://seniorvigil.com/ehpad/ehpad-residence-les-berges-du-danube-77/
920030152;920023678;40125156601301;EHPAD RESIDENCE LES BORDS DE SEINE;76 BD BOURDON;92200;NEUILLY SUR SEINE;92;Non renseigné;215.0;;0;Non;Non;Oui;Oui;Non;Oui;https://seniorvigil.com/ehpad/ehpad-residence-les-bords-de-seine-92/
770001154;770815009;39830264600011;EHPAD RESIDENCE LES BRUYERES;15 R MASSENET;77940;VOULX;77;Non renseigné;87.56;;0;Non;Non;Oui;Oui;Non;Oui;https://seniorvigil.com/ehpad/ehpad-residence-les-bruyeres-77/
910002120;910815018;47969727800014;EHPAD RESIDENCE LES CEDRES;40 R DU MAIL;91600;SAVIGNY SUR ORGE;91;Non renseigné;;;0;Non;Non;Oui;Non;Non;Oui;https://seniorvigil.com/ehpad/ehpad-residence-les-cedres-91/
750056368;940802630;78566823700205;EHPAD RESIDENCE LES CEDRES;6 AV ALBERT PLEUVRY;94370;SUCY EN BRIE;94;Non renseigné;99.0;A;0;Non;Non;Oui;Oui;Oui;Oui;https://seniorvigil.com/ehpad/ehpad-residence-les-cedres-94/
920028560;770016848;43997564000012;EHPAD RESIDENCE LES CHAMPS;8 R MAURICE SUJET;77120;COULOMMIERS;77;Non renseigné;;B;1;Non;Non;Oui;Non;Oui;Oui;https://seniorvigil.com/ehpad/ehpad-residence-les-champs-77/
770001196;770815884;41247705100012;EHPAD RESIDENCE LES CHENES ROUGES;CHE DES NEUF FOUGERES;77780;BOURRON MARLOTTE;77;Non renseigné;119.0;A;0;Non;Non;Oui;Oui;Oui;Non;https://seniorvigil.com/ehpad/ehpad-residence-les-chenes-rouges-77/
920030186;930817580;81779709500525;EHPAD RESIDENCE LES CLAIRIERES;50 ALL DU CHEVALIER DE LA BARRE;93320;LES PAVILLONS SOUS BOIS;93;Non renseigné;85.03;;0;Non;Non;Oui;Oui;Non;Oui;https://seniorvigil.com/ehpad/ehpad-residence-les-clairieres-93/
750021529;750042731;43843459900025;EHPAD RESIDENCE LES ISSAMBRES;111 BD NEY;75018;PARIS;75;Non renseigné;;A;0;Non;Non;Oui;Non;Oui;Oui;https://seniorvigil.com/ehpad/ehpad-residence-les-issambres-75/
930019112;930019120;43244155800025;EHPAD RESIDENCE LES JARDINS DES LILAS;20 R DE LA CROIX DE L EPINETTE;93260;LES LILAS;93;Non renseigné;;A;1;Non;Non;Oui;Non;Oui;Oui;https://seniorvigil.com/ehpad/ehpad-residence-les-jardins-des-lilas-93/
920034410;910008358;45313664000027;EHPAD RESIDENCE LES JARDINS DU LAC;2 CHE DES PATURES;91220;BRETIGNY SUR ORGE;91;Non renseigné;113.0;;0;Non;Non;Oui;Oui;Non;Non;https://seniorvigil.com/ehpad/ehpad-residence-les-jardins-du-lac-91/
920039773;780823373;34918573600387;EHPAD RESIDENCE LES LILAS;59 R PAUL DENIS HUET;78955;CARRIERES SOUS POISSY;78;Non renseigné;114.0;;0;Non;Non;Oui;Oui;Non;Oui;https://seniorvigil.com/ehpad/ehpad-residence-les-lilas-78/
920030152;780004669;40125156600881;EHPAD RESIDENCE LES LYS;5 R AUGUSTE BRUNOT;78150;LE CHESNAY ROCQUENCOURT;78;Non renseigné;130.0;B;1;Non;Non;Oui;Oui;Oui;Oui;https://seniorvigil.com/ehpad/ehpad-residence-les-lys-78/
920030186;950040238;81779709500996;EHPAD RESIDENCE LES MAGNOLIAS;3 R DU CLOS SAINT PAUL;95210;ST GRATIEN;95;Non renseigné;86.04;;0;Non;Non;Oui;Oui;Non;Oui;https://seniorvigil.com/ehpad/ehpad-residence-les-magnolias-95/
920024866;920024874;42872805900026;EHPAD RESIDENCE LES MARINES;18 R GUYNEMER;92600;ASNIERES SUR SEINE;92;Non renseigné;;A;1;Non;Non;Oui;Non;Oui;Oui;https://seniorvigil.com/ehpad/ehpad-residence-les-marines-92/
920028305;920814712;49939713100016;EHPAD RESIDENCE LES MATHURINS;2 R DES MATHURINS;92220;BAGNEUX;92;Non renseigné;;;0;Non;Non;Oui;Non;Non;Non;https://seniorvigil.com/ehpad/ehpad-residence-les-mathurins-92/
940001068;930025960;26940101400072;EHPAD RESIDENCE LES MURS A PECHES;196 R DE ROSNY;93100;MONTREUIL;93;Non renseigné;;A;0;Non;Non;Oui;Non;Oui;Non;https://seniorvigil.com/ehpad/ehpad-residence-les-murs-a-peches-93/
920030152;750019358;40125156601004;EHPAD RESIDENCE LES MUSICIENS;7 R GERMAINE TAILLEFER;75019;PARIS;75;Non renseigné;145.0;A;0;Non;Non;Oui;Oui;Oui;Oui;https://seniorvigil.com/ehpad/ehpad-residence-les-musiciens-75/
920030186;920004439;81779709501051;EHPAD RESIDENCE LES NEUF MUSES;31 BD GALLIENI;92130;ISSY LES MOULINEAUX;92;Non renseigné;122.46;;0;Non;Non;Oui;Oui;Non;Oui;https://seniorvigil.com/ehpad/ehpad-residence-les-neuf-muses-92/
950001156;950802496;31776102100011;EHPAD RESIDENCE LES PENSEES;102 R ANTONIN GEORGES BELIN;95100;ARGENTEUIL;95;Non renseigné;;B;0;Non;Non;Oui;Non;Oui;Non;https://seniorvigil.com/ehpad/ehpad-residence-les-pensees-95/
920030186;950000117;81779709500392;EHPAD RESIDENCE LES PRIMEVERES;110 R DU PROFESSEUR CALMETTE;95120;ERMONT;95;Non renseigné;98.08;;0;Non;Non;Oui;Oui;Non;Oui;https://seniorvigil.com/ehpad/ehpad-residence-les-primeveres-95/
930019336;930019344;26931398700027;EHPAD RESIDENCE LES QUATRE SAISONS;73 R LOUISE MICHEL;93171;BAGNOLET CEDEX;93;Non renseigné;;;0;Non;Non;Oui;Non;Non;Oui;https://seniorvigil.com/ehpad/ehpad-residence-les-quatre-saisons-93/
770814051;770808673;33317220300023;EHPAD RESIDENCE LES ROSES;95 R DES PRES ST MARTIN;77340;PONTAULT COMBAULT;77;Non renseigné;127.0;B;1;Non;Non;Oui;Oui;Oui;Oui;https://seniorvigil.com/ehpad/ehpad-residence-les-roses-77/
950014738;950808469;49941198100016;EHPAD RESIDENCE LES SANSONNETS;4 R DE L HOTEL DIEU;95750;CHARS;95;Non renseigné;;B;1;Non;Non;Oui;Non;Oui;Non;https://seniorvigil.com/ehpad/ehpad-residence-les-sansonnets-95/
750044745;950802579;44797050000016;EHPAD RESIDENCE LES TAMARIS;20 R DE BOISSY;95320;ST LEU LA FORET;95;Non renseigné;;B;1;Non;Non;Oui;Non;Oui;Non;https://seniorvigil.com/ehpad/ehpad-residence-les-tamaris-95/
940001647;940806037;44481772000014;EHPAD RESIDENCE LES TILLEULS;15 R MONTALEAU;94370;SUCY EN BRIE;94;Non renseigné;;C;2;Non;Non;Oui;Non;Oui;Non;https://seniorvigil.com/ehpad/ehpad-residence-les-tilleuls-94/
750065401;770803476;45343243700102;EHPAD RESIDENCE LES TOURNESOLS;2 R DES TOURNESOLS;77130;CANNES ECLUSE;77;Non renseigné;98.0;C;2;Non;Non;Oui;Oui;Oui;Non;https://seniorvigil.com/ehpad/ehpad-residence-les-tournesols-77/
920030152;910701457;40125156602838;EHPAD RESIDENCE LES TROIS LIONS;33 R ALBERT THOMAS;91560;CROSNE;91;Non renseigné;95.0;;0;Non;Non;Oui;Oui;Non;Oui;https://seniorvigil.com/ehpad/ehpad-residence-les-trois-lions-91/
920028560;920015609;43997564000848;EHPAD RESIDENCE LES VIGNES;75 R DES VIGNES;92000;NANTERRE;92;Non renseigné;;;0;Non;Non;Oui;Non;Non;Oui;https://seniorvigil.com/ehpad/ehpad-residence-les-vignes-92/
920030186;950783431;81779709500384;EHPAD RESIDENCE LOUIS GRASSI;25 R PIERRE BROSSOLETTE;95590;PRESLES;95;Non renseigné;83.23;;0;Non;Non;Oui;Oui;Non;Oui;https://seniorvigil.com/ehpad/ehpad-residence-louis-grassi-95/
770001154;770004109;39830264600110;EHPAD RESIDENCE LUCIE ET EDGAR FAURE;1058 R DE SEINE;77350;BOISSISE LA BERTRAND;77;Non renseigné;92.5;;0;Non;Non;Oui;Oui;Non;Oui;https://seniorvigil.com/ehpad/ehpad-residence-lucie-et-edgar-faure-77/
920030152;780022752;40125156602093;EHPAD RESIDENCE MADELEINE BRES;1 R MADELEINE BRES;78200;BUCHELAY;78;Non renseigné;120.0;A;0;Non;Non;Oui;Oui;Oui;Oui;https://seniorvigil.com/ehpad/ehpad-residence-madeleine-bres-78/
920001427;920710845;26920146300024;EHPAD RESIDENCE MADELEINE VERDIER;5 ALL DE LA VALLIERE;92120;MONTROUGE;92;Non renseigné;;C;2;Non;Non;Oui;Non;Oui;Oui;https://seniorvigil.com/ehpad/ehpad-residence-madeleine-verdier-92/
780027934;780024261;;EHPAD RESIDENCE MAINTENON;16 AV DE L'EUROPE;78590;NOISY LE ROI;78;Non renseigné;;A;0;Non;Non;Oui;Non;Oui;Non;https://seniorvigil.com/ehpad/ehpad-residence-maintenon-78/
920030152;770802668;40125156602788;EHPAD RESIDENCE MALKA;11 R PASTEUR;77350;BOISSISE LA BERTRAND;77;Non renseigné;;B;1;Non;Non;Oui;Non;Oui;Oui;https://seniorvigil.com/ehpad/ehpad-residence-malka-77/
920030186;920005329;81779709500863;EHPAD RESIDENCE MARCELLE DEVAUD;31 R JEAN JACQUES ROUSSEAU;92700;COLOMBES;92;Non renseigné;86.49;B;1;Non;Non;Oui;Oui;Oui;Oui;https://seniorvigil.com/ehpad/ehpad-residence-marcelle-devaud-92/
440049252;780006458;52926406100035;EHPAD RESIDENCE MARCONI;6 R MARCONI;78401;CHATOU CEDEX;78;Non renseigné;;A;0;Non;Non;Oui;Non;Oui;Oui;https://seniorvigil.com/ehpad/ehpad-residence-marconi-78/
380003038;930021571;;EHPAD RESIDENCE MARIE;91 AV DE LA REPUBLIQUE;93170;BAGNOLET;93;Non renseigné;;;0;Non;Non;Oui;Non;Non;Non;https://seniorvigil.com/ehpad/ehpad-residence-marie-93/
950009878;950009118;48322481200022;EHPAD RESIDENCE MEDICIS;74 BD HELOISE;95100;ARGENTEUIL;95;Non renseigné;;A;0;Non;Non;Oui;Non;Oui;Oui;https://seniorvigil.com/ehpad/ehpad-residence-medicis-95/
750721334;950460022;77567227227481;EHPAD RESIDENCE MONTJOIE;12 AV CHARLES DE GAULLE;95160;MONTMORENCY;95;Non renseigné;;B;2;Non;Non;Oui;Non;Oui;Oui;https://seniorvigil.com/ehpad/ehpad-residence-montjoie-95/
780020715;910816024;52150496900473;EHPAD RESIDENCE MOSAIQUE;49 R D ORGEVAL;91360;VILLEMOISSON SUR ORGE;91;Non renseigné;;A;0;Non;Non;Oui;Non;Oui;Oui;https://seniorvigil.com/ehpad/ehpad-residence-mosaique-91/
920030152;940805385;40125156602648;EHPAD RESIDENCE NORMANDY COTTAGE;5 R DU DR  ALBERT SCHWEITZER;94520;MANDRES LES ROSES;94;Non renseigné;97.0;B;1;Non;Non;Oui;Oui;Oui;Oui;https://seniorvigil.com/ehpad/ehpad-residence-normandy-cottage-94/
750039620;750800435;34015752800019;EHPAD RESIDENCE NOTRE DAME DES CHAMPS;49 R NOTRE DAME DES CHAMPS;75006;PARIS;75;Non renseigné;;B;1;Non;Non;Oui;Non;Oui;Oui;https://seniorvigil.com/ehpad/ehpad-residence-notre-dame-des-champs-75/
750044448;750021719;45159519300025;EHPAD RESIDENCE OCEANE;23 R RAOUL WALLENBERG;75019;PARIS;75;Non renseigné;;;0;Non;Non;Oui;Non;Non;Oui;https://seniorvigil.com/ehpad/ehpad-residence-oceane-75/
920030152;770015188;40125156601582;EHPAD RESIDENCE ONDINE;920 R CHARLES DE GAULLE;77100;MAREUIL LES MEAUX;77;Non renseigné;;;0;Non;Non;Oui;Non;Non;Oui;https://seniorvigil.com/ehpad/ehpad-residence-ondine-77/
750054314;750054322;79211221100026;EHPAD RESIDENCE ORNANO;10 R BAUDELIQUE;75018;PARIS;75;Non renseigné;;;0;Non;Non;Oui;Non;Non;Oui;https://seniorvigil.com/ehpad/ehpad-residence-ornano-75/
920030152;920020849;40125156601475;EHPAD RESIDENCE ORPEA LE CORBUSIER;63 R DE BELLEVUE;92100;BOULOGNE BILLANCOURT;92;Non renseigné;202.0;;0;Non;Non;Oui;Oui;Non;Oui;https://seniorvigil.com/ehpad/ehpad-residence-orpea-le-corbusier-92/
780823183;780823191;52885879800028;EHPAD RESIDENCE PARC DE MONTFORT;22 AV DU GENERAL DE GAULLE;78490;MONTFORT L AMAURY;78;Non renseigné;;;0;Non;Non;Oui;Non;Non;Non;https://seniorvigil.com/ehpad/ehpad-residence-parc-de-montfort-78/
920030186;930021597;81779709501127;EHPAD RESIDENCE PETRONILLE;1 R HENRI BARBUSSE;93420;VILLEPINTE;93;Non renseigné;88.53;;0;Non;Non;Oui;Oui;Non;Oui;https://seniorvigil.com/ehpad/ehpad-residence-petronille-93/
940019060;940007909;26940140200020;EHPAD RESIDENCE PIERRE TABANOU;32 AV DU GENERAL DE GAULLE;94240;L HAY LES ROSES;94;Non renseigné;;C;2;Non;Non;Oui;Non;Oui;Non;https://seniorvigil.com/ehpad/ehpad-residence-pierre-tabanou-94/
920030152;920011749;;EHPAD RESIDENCE PORT VAN GOGH;4 R DUSCHESNAY;92600;ASNIERES SUR SEINE;92;Non renseigné;165.0;;0;Non;Non;Oui;Oui;Non;Oui;https://seniorvigil.com/ehpad/ehpad-residence-port-van-gogh-92/
910000140;910000157;41117977300014;EHPAD RESIDENCE PRO SANTE EVRY;6 R DES CLOS;91070;BONDOUFLE;91;Non renseigné;;;0;Non;Non;Oui;Non;Non;Oui;https://seniorvigil.com/ehpad/ehpad-residence-pro-sante-evry-91/
920014248;920014289;45097783000022;EHPAD RESIDENCE RABELAIS;4 R RABELAIS;92600;ASNIERES SUR SEINE;92;Non renseigné;;A;0;Non;Non;Oui;Non;Oui;Non;https://seniorvigil.com/ehpad/ehpad-residence-rabelais-92/
950001420;950805978;34981195000014;EHPAD RESIDENCE RACHEL;7 R DE BOISSY;95320;ST LEU LA FORET;95;Non renseigné;105.9;C;2;Non;Non;Oui;Oui;Oui;Non;https://seniorvigil.com/ehpad/ehpad-residence-rachel-95/
920001401;920710753;26920017600015;EHPAD RESIDENCE RENAUDIN;13 PL DU GENERAL DE GAULLE;92330;SCEAUX;92;Non renseigné;;C;2;Non;Non;Oui;Non;Oui;Non;https://seniorvigil.com/ehpad/ehpad-residence-renaudin-92/
910000777;770815223;32935031800039;EHPAD RESIDENCE REPOTEL;12 ALL PERCE NEIGE;77127;LIEUSAINT;77;Non renseigné;96.0;A;0;Non;Non;Oui;Oui;Oui;Oui;https://seniorvigil.com/ehpad/ehpad-residence-repotel-77/
780809166;780802138;33834442700012;EHPAD RESIDENCE REPOTEL;1 SQ PUISAYE;78310;MAUREPAS;78;Non renseigné;101.0;;0;Non;Non;Oui;Oui;Non;Non;https://seniorvigil.com/ehpad/ehpad-residence-repotel-78-780802138/
780021309;780823928;47787831800013;EHPAD RESIDENCE REPOTEL;38 R AUX FLEURS;78960;VOISINS LE BRETONNEUX;78;Non renseigné;107.0;;0;Non;Non;Oui;Oui;Non;Non;https://seniorvigil.com/ehpad/ehpad-residence-repotel-78-780823928/
920718004;920711967;47759901300018;EHPAD RESIDENCE REPOTEL;49 R DU PONT D ARGENTEUIL;92230;GENNEVILLIERS;92;Non renseigné;95.0;B;1;Non;Non;Oui;Oui;Oui;Non;https://seniorvigil.com/ehpad/ehpad-residence-repotel-92/
910027747;910700319;77567652100021;EHPAD RESIDENCE RETRAITE DU CINEMA;47 R GASTON GRINBAUM;91270;VIGNEUX SUR SEINE;91;Non renseigné;;;0;Non;Non;Oui;Non;Non;Non;https://seniorvigil.com/ehpad/ehpad-residence-retraite-du-cinema-91/
140002809;920003571;35338509900026;EHPAD RESIDENCE SAINT BENOIT;9 R HEINRICH;92100;BOULOGNE BILLANCOURT;92;Non renseigné;130.98;;0;Non;Non;Oui;Oui;Non;Non;https://seniorvigil.com/ehpad/ehpad-residence-saint-benoit-92/
750712341;940011398;78480968300484;EHPAD RESIDENCE SAINT EXUPERY;23 R GUY MOQUET;94800;VILLEJUIF;94;Non renseigné;;B;1;Non;Non;Oui;Non;Oui;Non;https://seniorvigil.com/ehpad/ehpad-residence-saint-exupery-94/
920030152;750831448;40125156600246;EHPAD RESIDENCE SAINT JACQUES;3 PAS VICTOR MARCHAND;75013;PARIS;75;Non renseigné;150.0;A;0;Non;Non;Oui;Oui;Oui;Oui;https://seniorvigil.com/ehpad/ehpad-residence-saint-jacques-75/
750721334;920802154;77567227208275;EHPAD RESIDENCE SAINTE AGNES;7 AV JEAN BAPTISTE CLEMENT;92100;BOULOGNE BILLANCOURT;92;Non renseigné;;;1;Non;Non;Oui;Non;Non;Oui;https://seniorvigil.com/ehpad/ehpad-residence-sainte-agnes-92/
920030186;920813011;81779709500632;EHPAD RESIDENCE SAINTE LUCIE;43 ALL SAINTE LUCIE;92130;ISSY LES MOULINEAUX;92;Non renseigné;105.36;B;1;Non;Non;Oui;Oui;Oui;Oui;https://seniorvigil.com/ehpad/ehpad-residence-sainte-lucie-92/
940017304;920712569;38324753300169;EHPAD RESIDENCE SAINTE MARTHE;3 R CARNOT;92270;BOIS COLOMBES;92;Non renseigné;;;0;Non;Non;Oui;Non;Non;Oui;https://seniorvigil.com/ehpad/ehpad-residence-sainte-marthe-92/
750720583;750012510;26750004900536;EHPAD RESIDENCE SANTE ANSELME PAYEN;9 PL VIOLET;75015;PARIS;75;Non renseigné;;C;3;Non;Non;Oui;Non;Oui;Oui;https://seniorvigil.com/ehpad/ehpad-residence-sante-anselme-payen-75/
750720583;940803356;26750004900163;EHPAD RESIDENCE SANTE COUSIN MERICOURT;15 AV COUSIN DE MERICOURT;94230;CACHAN;94;Non renseigné;;B;2;Non;Non;Oui;Non;Oui;Oui;https://seniorvigil.com/ehpad/ehpad-residence-sante-cousin-mericourt-94/
750720583;750831208;26750004902847;EHPAD RESIDENCE SANTE FURTADO HEINE;5 R JACQUIER;75014;PARIS;75;Non renseigné;;B;2;Non;Non;Oui;Non;Oui;Oui;https://seniorvigil.com/ehpad/ehpad-residence-sante-furtado-heine-75/
750720583;920718350;26750004902219;EHPAD RESIDENCE SANTE GALIGNANI;89 BD BINEAU;92200;NEUILLY SUR SEINE;92;Non renseigné;;C;3;Non;Non;Oui;Non;Oui;Oui;https://seniorvigil.com/ehpad/ehpad-residence-sante-galignani-92/
750720583;750832578;26750004902953;EHPAD RESIDENCE SANTE OASIS;11 R LAGHOUAT;75018;PARIS;75;Non renseigné;;B;2;Non;Non;Oui;Non;Oui;Oui;https://seniorvigil.com/ehpad/ehpad-residence-sante-oasis-75/
440049252;940813074;52926406100068;EHPAD RESIDENCE SEVIGNE;83 R DU PONT DE CRETEIL;94100;ST MAUR DES FOSSES;94;Non renseigné;;;0;Non;Non;Oui;Non;Non;Oui;https://seniorvigil.com/ehpad/ehpad-residence-sevigne-94/
780027348;780020665;50163951200026;EHPAD RESIDENCE SIMON VOUET;3 AV SIMON VOUET;78560;LE PORT MARLY;78;Non renseigné;;A;0;Non;Non;Oui;Non;Oui;Non;https://seniorvigil.com/ehpad/ehpad-residence-simon-vouet-78/
940017304;940816432;38324753300102;EHPAD RESIDENCE SIMONE VEIL;10 R BOURGELAT;94700;MAISONS ALFORT;94;Non renseigné;;;0;Non;Non;Oui;Non;Non;Oui;https://seniorvigil.com/ehpad/ehpad-residence-simone-veil-94/
910009828;910808807;48089406200037;EHPAD RESIDENCE SOFIA;26 R DE CONCY;91330;YERRES;91;Non renseigné;;C;2;Non;Non;Oui;Non;Oui;Non;https://seniorvigil.com/ehpad/ehpad-residence-sofia-91/
920030152;920800794;40125156600204;EHPAD RESIDENCE ST JOSEPH;3 R FAUVEAU;92140;CLAMART;92;Non renseigné;132.0;A;1;Non;Non;Oui;Oui;Oui;Oui;https://seniorvigil.com/ehpad/ehpad-residence-st-joseph-92/
750056368;920711298;78566823700072;EHPAD RESIDENCE STE ANNE D AURAY;5 R DE FONTENAY;92320;CHATILLON;92;Non renseigné;;B;1;Non;Non;Oui;Non;Oui;Oui;https://seniorvigil.com/ehpad/ehpad-residence-ste-anne-d-auray-92/
920025087;920812047;43374692200015;EHPAD RESIDENCE THEMIS JEAN ROSTAND;8 AV DU BOIS;92290;CHATENAY MALABRY;92;Non renseigné;;B;1;Non;Non;Oui;Non;Oui;Oui;https://seniorvigil.com/ehpad/ehpad-residence-themis-jean-rostand-92/
920000163;920000148;39355045400028;EHPAD RESIDENCE TIERS TEMPS;6 R DE CHEVREUL;92150;SURESNES;92;Non renseigné;;A;0;Non;Non;Oui;Non;Oui;Non;https://seniorvigil.com/ehpad/ehpad-residence-tiers-temps-92/
750003592;750003600;32876980700012;EHPAD RESIDENCE TIERS TEMPS PARIS;24 R REMY DUMONCEL;75014;PARIS;75;Non renseigné;;A;1;Non;Non;Oui;Non;Oui;Non;https://seniorvigil.com/ehpad/ehpad-residence-tiers-temps-paris-75/
920030152;750046351;40125156602200;EHPAD RESIDENCE TROCADERO;7 R DU BOUQUET DE LONGCHAMPS;75116;PARIS;75;Non renseigné;243.0;A;0;Non;Non;Oui;Oui;Oui;Oui;https://seniorvigil.com/ehpad/ehpad-residence-trocadero-75/
920030152;780823332;40125156600147;EHPAD RESIDENCE VAL DE SEINE;45 AV DE PARIS;78740;VAUX SUR SEINE;78;Non renseigné;115.0;A;1;Non;Non;Oui;Oui;Oui;Oui;https://seniorvigil.com/ehpad/ehpad-residence-val-de-seine-78/
920030186;940814742;81779709501184;EHPAD RESIDENCE VERDI;2 R DE LA CROIX ROUGE;94520;MANDRES LES ROSES;94;Non renseigné;82.5;;0;Non;Non;Oui;Oui;Non;Oui;https://seniorvigil.com/ehpad/ehpad-residence-verdi-94/
920030186;930023700;81779709500509;EHPAD RESIDENCE VICTOR HUGO;146 AV FRANKLIN;93320;LES PAVILLONS SOUS BOIS;93;Non renseigné;88.55;;0;Non;Non;Oui;Oui;Non;Oui;https://seniorvigil.com/ehpad/ehpad-residence-victor-hugo-93/
770015550;770000081;43226857100010;EHPAD RESIDENCE VILLA LOUISE;90 R AIME CESAIRE;77240;VERT ST DENIS;77;Non renseigné;;B;1;Non;Non;Oui;Non;Oui;Non;https://seniorvigil.com/ehpad/ehpad-residence-villa-louise-77/
920034154;920012168;44889760300024;EHPAD RESIDENCE VILLA MEDICIS;26 R DIDEROT;92170;VANVES;92;Non renseigné;;A;1;Non;Non;Oui;Non;Oui;Non;https://seniorvigil.com/ehpad/ehpad-residence-villa-medicis-92/
920031689;920814522;44014790800022;EHPAD RESIDENCE VOLTAIRE;35 R VOLTAIRE;92800;PUTEAUX;92;Non renseigné;;C;2;Non;Non;Oui;Non;Oui;Non;https://seniorvigil.com/ehpad/ehpad-residence-voltaire-92/
750720492;950780395;77566653000271;EHPAD RESIDENCE ZEMGOR;35 R DU MARTRAY;95240;CORMEILLES EN PARISIS;95;Non renseigné;;A;1;Non;Non;Oui;Non;Oui;Oui;https://seniorvigil.com/ehpad/ehpad-residence-zemgor-95/
920009909;920710746;26920154700040;EHPAD RESIDENCES LELEGARD;1 R LELEGARD;92211;ST CLOUD CEDEX;92;Non renseigné;;;0;Non;Non;Oui;Non;Non;Non;https://seniorvigil.com/ehpad/ehpad-residences-lelegard-92/
780000790;780701041;26780016700012;EHPAD RICHARD;2 BD RICHARD GARNIER;78702;CONFLANS STE HONORINE CEDE;78;Non renseigné;;;0;Non;Non;Oui;Non;Non;Non;https://seniorvigil.com/ehpad/ehpad-richard-78/
920000528;920710860;;EHPAD ROGER TEULLE;20 R DES GRAVIERS;92200;NEUILLY SUR SEINE;92;Non renseigné;;;0;Non;Non;Oui;Non;Non;Non;https://seniorvigil.com/ehpad/ehpad-roger-teulle-92/
770110070;770790632;26770008600049;EHPAD ROSA GALLICA;CHE DES GRATTONS;77160;PROVINS;77;Non renseigné;;;0;Non;Non;Oui;Non;Non;Non;https://seniorvigil.com/ehpad/ehpad-rosa-gallica-77/
330066465;940003718;42873621900257;EHPAD RÉSIDENCE ARC BOISE;6 R JULIETTE DE WILLS;94500;CHAMPIGNY SUR MARNE;94;Non renseigné;;B;1;Non;Non;Oui;Non;Oui;Non;https://seniorvigil.com/ehpad/ehpad-residence-arc-boise-94/
770000552;770700987;26770028400016;EHPAD SAINT AILE;RTE DE SAINT AILE;77510;REBAIS;77;Non renseigné;;C;2;Non;Non;Oui;Non;Oui;Non;https://seniorvigil.com/ehpad/ehpad-saint-aile-77/
750803678;750047714;77568298200092;EHPAD SAINT AUGUSTIN;68 R DES PLANTES;75014;PARIS;75;Non renseigné;106.76;A;1;Non;Non;Oui;Oui;Oui;Oui;https://seniorvigil.com/ehpad/ehpad-saint-augustin-75/
750710428;940803919;77568109100184;EHPAD SAINT JEAN EUDES;5 R OUTREQUIN;94550;CHEVILLY LARUE;94;Non renseigné;;A;0;Non;Non;Oui;Non;Oui;Oui;https://seniorvigil.com/ehpad/ehpad-saint-jean-eudes-94/
770809036;770802692;30822106800023;EHPAD SAINT JOSEPH;41 AV DE FONTAINEBLEAU;77760;LA CHAPELLE LA REINE;77;Non renseigné;;;0;Non;Non;Oui;Non;Non;Oui;https://seniorvigil.com/ehpad/ehpad-saint-joseph-77/
750056368;780700845;78566823700056;EHPAD SAINT JOSEPH;45 R DU GENERAL LECLERC;78430;LOUVECIENNES;78;Non renseigné;;A;1;Non;Non;Oui;Non;Oui;Oui;https://seniorvigil.com/ehpad/ehpad-saint-joseph-78/
