finess_et;finess_ej;siret;nom;adresse;code_postal;ville;departement;statut_juridique;prix_chambre_simple_jour;cotation_has;nb_red_flags;alerte_gouvernance;contentieux_judiciaire;source_finess;source_cnsa;source_has;source_alimconfiance;url_fiche_seniorvigil
750041394;750041402;42005580800026;EHPAD RESIDENCE DU MARAIS;11 R BARBETTE;75003;PARIS;75;Non renseigné;;D;2;Non;Non;Oui;Non;Oui;Non;https://seniorvigil.com/ehpad/ehpad-residence-du-marais-75/
770000057;770001287;41881631000019;EHPAD RESIDENCE DU MOULIN;11 R DE TIVOLI;77440;LIZY SUR OURCQ;77;Non renseigné;;A;0;Non;Non;Oui;Non;Oui;Non;https://seniorvigil.com/ehpad/ehpad-residence-du-moulin-77/
920018918;910019488;40191656400081;EHPAD RESIDENCE DU MOULIN DE L EPINE;55 R SAINT CAPRAIS;91770;ST VRAIN;91;Non renseigné;95.0;;0;Non;Non;Oui;Oui;Non;Non;https://seniorvigil.com/ehpad/ehpad-residence-du-moulin-de-l-epine-91/
780027801;780018826;48801796300023;EHPAD RESIDENCE DU PARC;5 AV MOLIERE;78600;MAISONS LAFFITTE;78;Non renseigné;;;0;Non;Non;Oui;Non;Non;Non;https://seniorvigil.com/ehpad/ehpad-residence-du-parc-78/
920027778;920025483;41931807600025;EHPAD RESIDENCE DU PARC;121 AV DE VERDUN;92320;CHATILLON;92;Non renseigné;159.8;B;1;Non;Non;Oui;Oui;Oui;Oui;https://seniorvigil.com/ehpad/ehpad-residence-du-parc-92/
920018918;910015015;50017503900014;EHPAD RESIDENCE DU PARC DE BELLEJAME;1 R JEAN DE MONTAIGU;91460;MARCOUSSIS;91;Non renseigné;95.0;;0;Non;Non;Oui;Oui;Non;Non;https://seniorvigil.com/ehpad/ehpad-residence-du-parc-de-bellejame-91/
920019569;920019429;47808095500022;EHPAD RESIDENCE DU PARC DE MEUDON;60 ALL DE LA FORET;92360;MEUDON;92;Non renseigné;;A;0;Non;Non;Oui;Non;Oui;Non;https://seniorvigil.com/ehpad/ehpad-residence-du-parc-de-meudon-92/
910020668;910019058;47930954400035;EHPAD RESIDENCE DU PLATEAU;1 R PAUL VAILLANT COUTURIER;91200;ATHIS MONS;91;Non renseigné;;B;1;Non;Non;Oui;Non;Oui;Oui;https://seniorvigil.com/ehpad/ehpad-residence-du-plateau-91/
920808037;920805025;26920097800071;EHPAD RESIDENCE DU ROUVRAY;15 R DES ABONDANCES;92100;BOULOGNE BILLANCOURT;92;Non renseigné;;;0;Non;Non;Oui;Non;Non;Non;https://seniorvigil.com/ehpad/ehpad-residence-du-rouvray-92/
920030152;950807529;40125156600824;EHPAD RESIDENCE DU VEXIN;16 R GAMBETTA;95770;ST CLAIR SUR EPTE;95;Non renseigné;;;0;Non;Non;Oui;Non;Non;Oui;https://seniorvigil.com/ehpad/ehpad-residence-du-vexin-95/
920030152;750031098;40125156600949;EHPAD RESIDENCE EDITH PIAF;50 R DES BOIS;75019;PARIS;75;Non renseigné;129.0;A;1;Non;Non;Oui;Oui;Oui;Oui;https://seniorvigil.com/ehpad/ehpad-residence-edith-piaf-75/
780031555;780824959;82349703700023;EHPAD RESIDENCE ELEUSIS;11 R SAINT BARTHELEMY;78300;POISSY;78;Non renseigné;;;0;Non;Non;Oui;Non;Non;Oui;https://seniorvigil.com/ehpad/ehpad-residence-eleusis-78/
920030186;930023056;81779709500228;EHPAD RESIDENCE EMILE ZOLA;120 R JEAN MERMOZ;93110;ROSNY SOUS BOIS;93;Non renseigné;85.03;C;2;Non;Non;Oui;Oui;Oui;Oui;https://seniorvigil.com/ehpad/ehpad-residence-emile-zola-93/
920807849;920815396;41850136700027;EHPAD RESIDENCE ESTEREL;50 R DE BRANLY;92700;COLOMBES;92;Non renseigné;;A;0;Non;Non;Oui;Non;Oui;Oui;https://seniorvigil.com/ehpad/ehpad-residence-esterel-92/
910000033;910015809;78516501000022;EHPAD RESIDENCE EUROPA;77 R DU PERRAY;91160;BALLAINVILLIERS;91;Non renseigné;;;0;Non;Non;Oui;Non;Non;Non;https://seniorvigil.com/ehpad/ehpad-residence-europa-91/
750721334;950780304;77567227236987;EHPAD RESIDENCE FLORENCE NIGHTINGALE;23 RTE DE SAINT GRATIEN;95100;ARGENTEUIL;95;Non renseigné;;C;3;Non;Non;Oui;Non;Oui;Oui;https://seniorvigil.com/ehpad/ehpad-residence-florence-nightingale-95/
920002987;920815610;40283163000023;EHPAD RESIDENCE FONTAINE;54 R H G FONTAINE;92600;ASNIERES SUR SEINE;92;Non renseigné;;;0;Non;Non;Oui;Non;Non;Non;https://seniorvigil.com/ehpad/ehpad-residence-fontaine-92/
750066037;770017119;38259294700024;EHPAD RESIDENCE FRANCOIS VILLON;17 R FRANCOIS VILLON;77140;NEMOURS;77;Non renseigné;;B;1;Non;Non;Oui;Non;Oui;Non;https://seniorvigil.com/ehpad/ehpad-residence-francois-villon-77/
920030186;940020092;81779709501085;EHPAD RESIDENCE GEORGES LEGER;4 AV DU GENERAL LECLERC;94600;CHOISY LE ROI;94;Non renseigné;85.0;B;1;Non;Non;Oui;Oui;Oui;Oui;https://seniorvigil.com/ehpad/ehpad-residence-georges-leger-94/
750812844;780701652;77567826100147;EHPAD RESIDENCE GEORGES ROSSET;40 R DES EVEUSES;78120;RAMBOUILLET;78;Non renseigné;;B;1;Non;Non;Oui;Non;Oui;Oui;https://seniorvigil.com/ehpad/ehpad-residence-georges-rosset-78/
440049252;920000155;;EHPAD RESIDENCE GER HOME;23 R JULES LEFEVRE;92400;COURBEVOIE;92;Non renseigné;;;0;Non;Non;Oui;Non;Non;Oui;https://seniorvigil.com/ehpad/ehpad-residence-ger-home-92/
750040099;750040149;50514287700016;EHPAD RESIDENCE GOBELINS;35 R LE BRUN;75013;PARIS;75;Non renseigné;;A;0;Non;Non;Oui;Non;Oui;Non;https://seniorvigil.com/ehpad/ehpad-residence-gobelins-75/
910000421;910300110;34805706800028;EHPAD RESIDENCE GRANGER;11 AV GRANGER;91210;DRAVEIL;91;Non renseigné;;A;1;Non;Non;Oui;Non;Oui;Non;https://seniorvigil.com/ehpad/ehpad-residence-granger-91/
440049252;770814804;52926406100076;EHPAD RESIDENCE HARMONIE;2 RLE DES MASGONS;77250;MORET LOING ET ORVANNE;77;Non renseigné;;B;1;Non;Non;Oui;Non;Oui;Oui;https://seniorvigil.com/ehpad/ehpad-residence-harmonie-77/
